country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,month_year,year
Sweden,SWE,2022-03-25,21053545.0,7817094.0,7614496.0,27102.0,20606.0,207.22,76.94,74.94,2028.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/,2022-03,2022
Switzerland,CHE,2022-03-28,15635047.0,6081712.0,5993447.0,2073.0,2221.0,179.39,69.78,68.77,255.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH,2022-03,2022
Syria,SYR,2022-03-23,3369196.0,2308843.0,1318742.0,,1371.0,18.44,12.63,7.22,75.0,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/,2022-03,2022
Taiwan,TWN,2022-03-29,49481298.0,19449353.0,18254357.0,52735.0,44798.0,207.43,81.53,76.52,1878.0,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og,2022-03,2022
Tajikistan,TJK,2022-03-13,10439469.0,5085230.0,4614268.0,113265.0,45428.0,107.08,52.16,47.33,4659.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/,2022-03,2022
Tanzania,TZA,2022-03-23,5031070.0,3941772.0,3067877.0,,0.0,8.18,6.41,4.99,0.0,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/,2022-03,2022
Thailand,THA,2022-03-29,128882372.0,55362342.0,50159803.0,163600.0,186328.0,184.25,79.14,71.71,2664.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/covid19-dashboard/,2022-03,2022
Timor,TLS,2022-03-22,1297126.0,700055.0,578949.0,7881.0,1634.0,96.52,52.09,43.08,1216.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/,2022-03,2022
Togo,TGO,2022-03-11,2757575.0,1558542.0,1557538.0,,3290.0,32.53,18.38,18.37,388.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2022-03,2022
Tokelau,TKL,2021-10-12,1936.0,968.0,968.0,,17.0,141.52,70.76,70.76,12427.0,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2021-10,2021
Tonga,TON,2022-02-28,147193.0,76910.0,70283.0,,319.0,137.87,72.04,65.83,2988.0,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0,2022-02,2022
Trinidad and Tobago,TTO,2022-03-29,1543684.0,746106.0,708762.0,393.0,531.0,110.0,53.17,50.5,378.0,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://services3.arcgis.com/x3I4DqUw3b3MfTwQ/arcgis/rest/services/service_7a519502598f492a9094fd0ad503cf80/FeatureServer/0/query,2022-03,2022
Tunisia,TUN,2022-03-21,13037269.0,7171789.0,6345597.0,1662.0,1729.0,109.23,60.09,53.16,145.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://web.facebook.com/santetunisie.rns.tn/posts/339797681524034?__cft__[0]=AZUiZe_DZCgQaUfW53dSTtXxKD5Vmq3M4OkNzKUMnMjzyKYqwPgH6EV-do3PCuT4TqokRZFYjLLshZ87APo1I0dbZHgTHn-95N8CB7Crpo5q1AShf3f9AQYWATKZCptNluocUhFJ8tKk3Z4cIg3qRVhQ&__tn__=%2CO%2CP-R,2022-03,2022
Turkey,TUR,2022-03-29,146881913.0,57776278.0,52968985.0,58382.0,45724.0,172.72,67.94,62.29,538.0,"Pfizer/BioNTech, Sinovac, Turkovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/,2022-03,2022
Turkmenistan,TKM,2021-09-05,7580976.0,4374694.0,3206282.0,,0.0,123.91,71.51,52.41,0.0,"EpiVacCorona, Oxford/AstraZeneca, QazVac, Sinopharm/Beijing, Sputnik V, ZF2001",World Health Organization,https://covid19.who.int/,2021-09,2021
Turks and Caicos Islands,TCA,2022-03-25,68670.0,31419.0,29400.0,,15.0,175.06,80.1,74.95,382.0,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/,2022-03,2022
Tuvalu,TUV,2021-10-22,12114.0,6230.0,5884.0,,30.0,101.58,52.24,49.34,2516.0,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/,2021-10,2021
Uganda,UGA,2022-03-14,17197954.0,14131307.0,8014082.0,134275.0,31963.0,36.5,29.99,17.01,678.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/,2022-03,2022
Ukraine,UKR,2022-02-23,31683310.0,15729617.0,15221792.0,66271.0,52194.0,72.89,36.19,35.02,1201.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua,2022-02,2022
United Arab Emirates,ARE,2022-03-29,24463702.0,9890318.0,9603499.0,18687.0,8442.0,244.86,98.99,96.12,845.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx,2022-03,2022
United Kingdom,GBR,2022-03-28,140968337.0,52788065.0,49404026.0,30520.0,32275.0,206.68,77.39,72.43,473.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations,2022-03,2022
